train_acc,train_cost,test_acc,test_cost,step,n_train
0.61315,1.758174370389908,0.6773,1.6662390978223496,1,60000
0.6955333333333333,1.6478543786481155,0.6954999999999999,1.628269066791096,2,60000
0.7059833333333333,1.6247461923118547,0.7055,1.610666111318184,3,60000
0.7091999999999998,1.613246154622204,0.7104,1.605276943248778,4,60000
0.71195,1.6050963868610266,0.7145999999999999,1.601678625946083,5,60000
0.7141999999999998,1.5979067682103798,0.7162999999999999,1.5879984430387875,6,60000
0.7164833333333332,1.5918503162088011,0.7152999999999999,1.585479602935088,7,60000
0.7179166666666668,1.5886427422161835,0.7193,1.580371069161019,8,60000
0.7173999999999999,1.5836434306773262,0.7192999999999999,1.5779045503625793,9,60000
0.7192333333333333,1.5806519388562066,0.7192999999999999,1.575997148414023,10,60000
0.7206833333333333,1.5773762427077933,0.7221,1.5703799226624184,11,60000
0.7204833333333334,1.574374834293837,0.7183,1.5712978286558485,12,60000
0.7210333333333333,1.5728129777133897,0.7221,1.5665365528713113,13,60000
0.7219833333333334,1.5707858465142375,0.7236,1.5640490103258216,14,60000
0.7224166666666666,1.56889768283567,0.7227,1.5636277221286232,15,60000
0.72255,1.566734385376192,0.7259,1.559220214480389,16,60000
0.7223000000000002,1.5656761854660235,0.7232000000000001,1.5612183111539997,17,60000
0.7228833333333334,1.5648056887927728,0.7266999999999999,1.5566915863394244,18,60000
0.7229833333333334,1.5632056978128772,0.7254999999999999,1.5589279858104026,19,60000
0.7239833333333333,1.5620575440666158,0.7258999999999999,1.5585873821353338,20,60000
0.7235666666666667,1.5607436910419379,0.7276,1.5561333494191756,21,60000
0.7241166666666667,1.5594495321314592,0.7257999999999999,1.5559025274144396,22,60000
0.7238,1.5584712372811818,0.7242,1.555890940954581,23,60000
0.72415,1.558058552364193,0.7260000000000001,1.5530848067570522,24,60000
0.72425,1.5567078401854246,0.7265999999999999,1.553612062263762,25,60000
